number of elements,time1,time2,time3,time4
500,0.0002477,0.0002492,0.0002506,0.0002494
1000,0.0005414,0.0005375,0.0005344,0.0004516
1500,0.0007327,0.000651,0.0006476,0.0006475
2000,0.0008867,0.0008859,0.0008843,0.0008832
2500,0.0012233,0.0011301,0.0011287,0.001177
3000,0.0014157,0.0015183,0.0015162,0.001517
3500,0.0017915,0.0019088,0.0017929,0.0018118
4000,0.001958,0.0019713,0.0019447,0.0019396
4500,0.0022565,0.0023483,0.0024146,0.0024234
5000,0.0026346,0.002586,0.0024936,0.0024834
5500,0.0027543,0.002767,0.0027655,0.0027463
6000,0.0031416,0.0030503,0.0030639,0.0030135
6500,0.0033093,0.0033165,0.0036489,0.0033551
7000,0.0035887,0.0036162,0.0036855,0.0046983
7500,0.0051532,0.0051732,0.0056037,0.0055432
8000,0.0056838,0.0054952,0.0053961,0.005309
8500,0.0057854,0.0057733,0.0043865,0.004387
9000,0.004709,0.0048709,0.0081713,0.0066902
9500,0.006667,0.0065489,0.0065323,0.0065467
10000,0.0067634,0.0069256,0.0074558,0.0075986
10500,0.0081018,0.0080444,0.0084604,0.007344
11000,0.007695,0.0077999,0.0085247,0.0063657
11500,0.0063462,0.0062209,0.0081333,0.0089056
12000,0.0093183,0.010544,0.0087674,0.0085998
12500,0.008924,0.0088751,0.0089074,0.0069696
13000,0.0088591,0.0103555,0.0102413,0.0104963
13500,0.0075405,0.0105388,0.0093921,0.0077531
14000,0.0079618,0.0077986,0.0077471,0.0077219
14500,0.008086,0.0081327,0.0082184,0.0112175
15000,0.0120548,0.0126815,0.0099086,0.0105036
15500,0.0123663,0.0090751,0.0126564,0.011852
16000,0.0089729,0.0116746,0.0120496,0.0115985
16500,0.0116855,0.0119276,0.0109877,0.0107507
17000,0.0094868,0.0094629,0.0095076,0.0123393
17500,0.0124033,0.0100303,0.0098004,0.0097977
18000,0.0142906,0.0135893,0.0121593,0.0101301
18500,0.0106035,0.0103759,0.0107031,0.0126
19000,0.0115345,0.0107389,0.0107906,0.0108874
19500,0.0129827,0.011006,0.0110771,0.0111403
20000,0.0113927,0.0136154,0.0146073,0.0116411
20500,0.0117163,0.014144,0.0119125,0.0128099
21000,0.0165333,0.0146021,0.0134422,0.0124202
21500,0.0123236,0.0123366,0.0123879,0.0123824
22000,0.0126714,0.0126288,0.0126545,0.0128049
22500,0.0133099,0.0129997,0.0150356,0.0166176
23000,0.0162929,0.0168572,0.0159384,0.0133238
23500,0.013617,0.0136068,0.0136539,0.0157201
24000,0.0140464,0.0139083,0.0139234,0.0145403
24500,0.0188255,0.0145662,0.0177277,0.0142685
25000,0.0145403,0.0145176,0.0176442,0.0152277
25500,0.0148549,0.0151648,0.0148667,0.0151207
26000,0.0154057,0.0188492,0.0156394,0.0153172
