number of elements,time1,time2,time3,time4
500,0.0003254,0.0002374,0.0002278,0.0002277
1000,0.0005135,0.0005078,0.000441,0.0004234
1500,0.0006806,0.0005486,0.0005462,0.0005455
2000,0.00075,0.0007504,0.0007499,0.0007473
2500,0.0009566,0.0009557,0.0009535,0.000955
3000,0.0014587,0.0012711,0.0015089,0.0020625
3500,0.0018792,0.0014349,0.0015003,0.0015393
4000,0.0016479,0.0018215,0.0017046,0.0016387
4500,0.0018521,0.0018491,0.0018778,0.0018498
5000,0.0020939,0.0021264,0.0021365,0.0020872
5500,0.0023305,0.0023428,0.0023331,0.0023867
6000,0.0028294,0.0026686,0.002607,0.0027136
6500,0.0028416,0.0042665,0.0037124,0.0028426
7000,0.0030981,0.003121,0.0030996,0.0031186
7500,0.0033754,0.003372,0.0033861,0.0033994
8000,0.0035626,0.0035709,0.0035874,0.0035875
8500,0.0037644,0.0037709,0.005197,0.0041039
9000,0.004088,0.0044188,0.0040969,0.0040389
9500,0.0042705,0.0043937,0.0049996,0.004481
10000,0.0064676,0.0047735,0.0045321,0.0067086
10500,0.0072596,0.0065344,0.0050176,0.0058175
11000,0.0068173,0.0052097,0.0052205,0.0051484
11500,0.0054226,0.0084616,0.005497,0.0057396
12000,0.0057555,0.0057316,0.0056807,0.0056573
12500,0.0061494,0.0059388,0.0066326,0.0072363
13000,0.0067008,0.0079304,0.0062146,0.0061374
13500,0.0064131,0.0089309,0.0065021,0.0065774
14000,0.0067912,0.0091421,0.0089971,0.00885
14500,0.0091391,0.0091118,0.0091735,0.0089849
15000,0.0073831,0.0074875,0.0072758,0.0074563
15500,0.0110826,0.0111162,0.0078073,0.0093807
16000,0.0077016,0.0076748,0.0079771,0.0077339
16500,0.007928,0.0078604,0.009675,0.0090543
17000,0.0105659,0.0106586,0.0113297,0.010551
17500,0.0110326,0.0084901,0.0085275,0.0091168
18000,0.0099306,0.0127207,0.0086905,0.0086916
18500,0.0089275,0.0113671,0.0113025,0.0089728
19000,0.0093236,0.0103266,0.0101497,0.011581
19500,0.0099599,0.0096321,0.0097351,0.0117282
20000,0.010456,0.0099758,0.0097739,0.009836
20500,0.0101509,0.0101839,0.0101753,0.0101862
21000,0.0125991,0.0104782,0.010423,0.0103375
21500,0.013077,0.0109733,0.0107922,0.0107779
22000,0.0112216,0.0111186,0.0110969,0.0110313
22500,0.0117536,0.0122568,0.0119931,0.0112526
23000,0.0117334,0.0116088,0.0115616,0.0114983
23500,0.011783,0.0126319,0.0126411,0.0118147
24000,0.0120803,0.0122272,0.0126126,0.0131547
24500,0.0134788,0.0151674,0.0144199,0.0155498
25000,0.01311,0.0127809,0.0127846,0.0130023
25500,0.013107,0.0130602,0.0183199,0.0132131
26000,0.0137932,0.0131848,0.0132141,0.013514
26500,0.0136971,0.0136282,0.0135246,0.0140948
27000,0.0138943,0.0139072,0.014063,0.0146565
27500,0.0170865,0.0143514,0.0147644,0.01433
28000,0.0146158,0.0146274,0.0146162,0.0146806
28500,0.0156376,0.0147222,0.01509,0.0154721
29000,0.0154535,0.0150475,0.0187248,0.0165694
